File,Species,Time
SwiftOne_20250320_171500(-0300).BirdNET.selection.table.txt,Band-tailed Manakin,Unknown
SwiftOne_20250320_174500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_174500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_181501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250320_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_160000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_160000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_160000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_160000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_160000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_161500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_161500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_163000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_174500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_180000(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_183001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_184501(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250321_190001(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250322_173000(-0300).BirdNET.selection.table.txt,Spot-winged Wood-Quail,Unknown
SwiftOne_20250322_174500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250322_174500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250322_174500(-0300).BirdNET.selection.table.txt,Amazonian Motmot,Unknown
SwiftOne_20250323_161500(-0300).BirdNET.selection.table.txt,Variable Antshrike,Unknown
